customer_id,customer_name,age,gender,location,segment
1,Customer_1,56,Male,Mumbai,Loyal
2,Customer_2,46,Female,Mumbai,High-Value
3,Customer_3,32,Female,Delhi,High-Value
4,Customer_4,25,Male,Chennai,New
5,Customer_5,38,Female,Chennai,New
6,Customer_6,56,Female,Hyderabad,New
7,Customer_7,36,Female,Mumbai,High-Value
8,Customer_8,40,Female,Hyderabad,High-Value
9,Customer_9,28,Female,Mumbai,Regular
10,Customer_10,28,Female,Delhi,New
11,Customer_11,41,Male,Chennai,High-Value
12,Customer_12,53,Male,Chennai,Regular
13,Customer_13,57,Male,Delhi,High-Value
14,Customer_14,41,Male,Hyderabad,Regular
15,Customer_15,20,Male,Hyderabad,New
16,Customer_16,39,Female,Bangalore,New
17,Customer_17,19,Male,Mumbai,New
18,Customer_18,41,Male,Hyderabad,High-Value
19,Customer_19,47,Female,Delhi,High-Value
20,Customer_20,55,Female,Hyderabad,Regular
21,Customer_21,19,Male,Chennai,Loyal
22,Customer_22,38,Female,Mumbai,Loyal
23,Customer_23,50,Female,Pune,New
24,Customer_24,29,Female,Bangalore,Loyal
25,Customer_25,39,Female,Mumbai,New
26,Customer_26,42,Male,Chennai,Regular
27,Customer_27,44,Female,Chennai,Loyal
28,Customer_28,59,Male,Chennai,Loyal
29,Customer_29,45,Male,Chennai,New
30,Customer_30,33,Female,Delhi,Regular
31,Customer_31,32,Female,Bangalore,Loyal
32,Customer_32,20,Female,Pune,Loyal
33,Customer_33,54,Male,Chennai,Loyal
34,Customer_34,24,Female,Chennai,Regular
35,Customer_35,38,Female,Hyderabad,Regular
36,Customer_36,26,Female,Bangalore,Loyal
37,Customer_37,56,Female,Mumbai,New
38,Customer_38,35,Female,Bangalore,New
39,Customer_39,21,Male,Bangalore,Loyal
40,Customer_40,42,Female,Pune,Regular
41,Customer_41,31,Female,Bangalore,Loyal
42,Customer_42,26,Female,Pune,Regular
43,Customer_43,43,Male,Chennai,Loyal
44,Customer_44,19,Female,Chennai,Regular
45,Customer_45,37,Male,Delhi,High-Value
46,Customer_46,45,Male,Pune,New
47,Customer_47,24,Female,Pune,High-Value
48,Customer_48,25,Female,Mumbai,New
49,Customer_49,52,Female,Hyderabad,Regular
50,Customer_50,31,Male,Bangalore,High-Value
51,Customer_51,34,Male,Mumbai,New
52,Customer_52,53,Male,Pune,Loyal
53,Customer_53,57,Male,Mumbai,Regular
54,Customer_54,21,Male,Delhi,Regular
55,Customer_55,19,Male,Hyderabad,Loyal
56,Customer_56,23,Female,Pune,Loyal
57,Customer_57,59,Female,Pune,New
58,Customer_58,21,Male,Bangalore,Regular
59,Customer_59,46,Female,Hyderabad,New
60,Customer_60,35,Female,Delhi,Loyal
61,Customer_61,43,Male,Chennai,Regular
62,Customer_62,51,Male,Mumbai,Loyal
63,Customer_63,27,Female,Bangalore,New
64,Customer_64,53,Male,Pune,New
65,Customer_65,31,Male,Chennai,New
66,Customer_66,48,Female,Delhi,Regular
67,Customer_67,32,Male,Hyderabad,Loyal
68,Customer_68,25,Female,Mumbai,Loyal
69,Customer_69,31,Female,Bangalore,New
70,Customer_70,40,Female,Pune,New
71,Customer_71,57,Female,Pune,New
72,Customer_72,38,Female,Chennai,New
73,Customer_73,33,Male,Chennai,High-Value
74,Customer_74,35,Male,Mumbai,High-Value
75,Customer_75,41,Male,Hyderabad,High-Value
76,Customer_76,43,Male,Delhi,New
77,Customer_77,42,Female,Hyderabad,New
78,Customer_78,58,Female,Hyderabad,Loyal
79,Customer_79,46,Male,Hyderabad,Regular
80,Customer_80,32,Female,Mumbai,Loyal
81,Customer_81,18,Male,Mumbai,High-Value
82,Customer_82,42,Male,Delhi,Loyal
83,Customer_83,24,Male,Hyderabad,New
84,Customer_84,26,Female,Mumbai,High-Value
85,Customer_85,41,Female,Delhi,High-Value
86,Customer_86,18,Female,Pune,Regular
87,Customer_87,25,Female,Delhi,Regular
88,Customer_88,41,Male,Hyderabad,High-Value
89,Customer_89,28,Female,Bangalore,High-Value
90,Customer_90,34,Female,Hyderabad,Loyal
91,Customer_91,25,Female,Bangalore,High-Value
92,Customer_92,52,Male,Delhi,New
93,Customer_93,52,Male,Pune,Loyal
94,Customer_94,50,Female,Pune,New
95,Customer_95,22,Female,Mumbai,New
96,Customer_96,59,Female,Pune,New
97,Customer_97,56,Female,Chennai,High-Value
98,Customer_98,58,Male,Delhi,Regular
99,Customer_99,45,Female,Mumbai,Regular
100,Customer_100,24,Female,Pune,New
101,Customer_101,26,Female,Delhi,High-Value
102,Customer_102,25,Male,Hyderabad,Loyal
103,Customer_103,29,Male,Pune,New
104,Customer_104,51,Female,Bangalore,Loyal
105,Customer_105,50,Female,Delhi,Loyal
106,Customer_106,40,Female,Mumbai,High-Value
107,Customer_107,41,Female,Hyderabad,High-Value
108,Customer_108,54,Female,Chennai,Regular
109,Customer_109,52,Male,Hyderabad,Regular
110,Customer_110,57,Male,Pune,High-Value
111,Customer_111,39,Male,Bangalore,New
112,Customer_112,44,Female,Hyderabad,Regular
113,Customer_113,52,Male,Chennai,Loyal
114,Customer_114,18,Male,Mumbai,New
115,Customer_115,52,Male,Delhi,Loyal
116,Customer_116,54,Female,Bangalore,High-Value
117,Customer_117,31,Female,Chennai,Loyal
118,Customer_118,20,Male,Pune,New
119,Customer_119,18,Female,Pune,High-Value
120,Customer_120,22,Male,Pune,New
121,Customer_121,43,Male,Bangalore,Loyal
122,Customer_122,31,Male,Hyderabad,New
123,Customer_123,56,Male,Bangalore,High-Value
124,Customer_124,44,Female,Pune,Loyal
125,Customer_125,26,Female,Chennai,Loyal
126,Customer_126,32,Female,Delhi,Regular
127,Customer_127,32,Female,Delhi,Regular
128,Customer_128,43,Male,Bangalore,New
129,Customer_129,59,Female,Pune,Regular
130,Customer_130,30,Male,Mumbai,Regular
131,Customer_131,49,Female,Bangalore,Regular
132,Customer_132,56,Female,Pune,Regular
133,Customer_133,49,Female,Hyderabad,High-Value
134,Customer_134,21,Male,Delhi,High-Value
135,Customer_135,47,Male,Delhi,Regular
136,Customer_136,54,Male,Delhi,New
137,Customer_137,40,Male,Mumbai,High-Value
138,Customer_138,56,Female,Pune,Regular
139,Customer_139,32,Male,Pune,High-Value
140,Customer_140,46,Male,Pune,Loyal
141,Customer_141,53,Female,Pune,High-Value
142,Customer_142,30,Female,Mumbai,High-Value
143,Customer_143,49,Male,Chennai,New
144,Customer_144,24,Female,Bangalore,High-Value
145,Customer_145,39,Male,Bangalore,New
146,Customer_146,45,Female,Pune,Loyal
147,Customer_147,19,Male,Hyderabad,Regular
148,Customer_148,59,Male,Delhi,New
149,Customer_149,23,Male,Mumbai,High-Value
150,Customer_150,45,Male,Hyderabad,High-Value
151,Customer_151,45,Male,Hyderabad,New
152,Customer_152,37,Female,Pune,Loyal
153,Customer_153,47,Male,Mumbai,Regular
154,Customer_154,28,Male,Bangalore,High-Value
155,Customer_155,45,Male,Delhi,Loyal
156,Customer_156,42,Male,Bangalore,Regular
157,Customer_157,56,Male,Hyderabad,Regular
158,Customer_158,50,Female,Delhi,High-Value
159,Customer_159,18,Female,Chennai,New
160,Customer_160,44,Male,Hyderabad,High-Value
161,Customer_161,30,Female,Bangalore,High-Value
162,Customer_162,58,Male,Bangalore,High-Value
163,Customer_163,20,Female,Pune,Loyal
164,Customer_164,56,Female,Bangalore,New
165,Customer_165,23,Male,Mumbai,Loyal
166,Customer_166,25,Female,Hyderabad,High-Value
167,Customer_167,44,Female,Delhi,New
168,Customer_168,26,Male,Bangalore,Regular
169,Customer_169,54,Male,Pune,New
170,Customer_170,50,Female,Pune,High-Value
171,Customer_171,59,Female,Bangalore,New
172,Customer_172,41,Female,Mumbai,Regular
173,Customer_173,32,Male,Pune,Regular
174,Customer_174,49,Female,Delhi,New
175,Customer_175,49,Female,Hyderabad,Regular
176,Customer_176,41,Female,Chennai,Loyal
177,Customer_177,58,Male,Mumbai,New
178,Customer_178,29,Male,Pune,Regular
179,Customer_179,56,Male,Hyderabad,Regular
180,Customer_180,19,Male,Chennai,New
181,Customer_181,20,Female,Bangalore,Loyal
182,Customer_182,54,Male,Bangalore,New
183,Customer_183,34,Female,Delhi,Regular
184,Customer_184,19,Female,Chennai,New
185,Customer_185,19,Female,Bangalore,Regular
186,Customer_186,45,Female,Bangalore,High-Value
187,Customer_187,40,Male,Pune,New
188,Customer_188,54,Male,Delhi,New
189,Customer_189,49,Male,Hyderabad,Regular
190,Customer_190,50,Male,Bangalore,Regular
191,Customer_191,18,Male,Mumbai,Regular
192,Customer_192,36,Female,Mumbai,Regular
193,Customer_193,19,Male,Hyderabad,New
194,Customer_194,43,Male,Chennai,Regular
195,Customer_195,49,Male,Delhi,New
196,Customer_196,23,Male,Pune,Loyal
197,Customer_197,49,Female,Mumbai,New
198,Customer_198,21,Female,Mumbai,Regular
199,Customer_199,28,Female,Hyderabad,Regular
200,Customer_200,34,Female,Chennai,Loyal
201,Customer_201,55,Female,Chennai,New
202,Customer_202,41,Male,Hyderabad,Loyal
203,Customer_203,22,Female,Mumbai,New
204,Customer_204,51,Female,Delhi,Regular
205,Customer_205,23,Female,Mumbai,New
206,Customer_206,39,Male,Chennai,Regular
207,Customer_207,28,Male,Pune,Regular
208,Customer_208,33,Female,Mumbai,High-Value
209,Customer_209,50,Male,Delhi,High-Value
210,Customer_210,26,Male,Bangalore,New
211,Customer_211,23,Female,Mumbai,Regular
212,Customer_212,33,Male,Hyderabad,Loyal
213,Customer_213,46,Male,Bangalore,Regular
214,Customer_214,20,Male,Hyderabad,Loyal
215,Customer_215,37,Female,Hyderabad,New
216,Customer_216,53,Female,Hyderabad,New
217,Customer_217,36,Female,Mumbai,Loyal
218,Customer_218,43,Male,Chennai,Loyal
219,Customer_219,20,Female,Bangalore,Regular
220,Customer_220,36,Male,Delhi,New
221,Customer_221,37,Male,Chennai,Regular
222,Customer_222,49,Male,Mumbai,Loyal
223,Customer_223,24,Female,Hyderabad,High-Value
224,Customer_224,58,Female,Delhi,High-Value
225,Customer_225,50,Female,Bangalore,High-Value
226,Customer_226,57,Female,Chennai,Loyal
227,Customer_227,56,Male,Pune,Regular
228,Customer_228,35,Female,Chennai,New
229,Customer_229,57,Male,Delhi,Loyal
230,Customer_230,18,Female,Mumbai,High-Value
231,Customer_231,28,Female,Bangalore,Regular
232,Customer_232,45,Female,Delhi,New
233,Customer_233,42,Male,Hyderabad,New
234,Customer_234,40,Male,Bangalore,Loyal
235,Customer_235,48,Male,Chennai,Loyal
236,Customer_236,47,Male,Delhi,New
237,Customer_237,59,Male,Chennai,New
238,Customer_238,52,Female,Chennai,High-Value
